Id;Source;Target;Type;weight;timeset
1.0;rialto;belle sebastian;undirected;22.0;<[2,2]>
2.0;gotye;lana del rey;undirected;25.0;<[2,2]>
3.0;radiohead;r.e.m.;undirected;33.0;<[3,3]>
4.0;radiohead;new order;undirected;89.0;<[3,3]>
5.0;radiohead;santigold;undirected;21.0;<[3,3]>
6.0;r.e.m.;beach house;undirected;21.0;<[3,3]>
7.0;radiohead;stevie wonder;undirected;23.0;<[3,3]>
8.0;rachel unthank the winterset;the raindrops;undirected;23.0;<[3,3]>
9.0;lana del rey;fun.;undirected;29.0;<[3,3]>
10.0;beastie boys;nick cave the bad seeds;undirected;29.0;<[3,3]>
11.0;lcd soundsystem;hot chip;undirected;22.0;<[3,3]>
12.0;beastie boys;the smiths;undirected;29.0;<[3,3]>
13.0;flower travellin' band;yusef lateef;undirected;21.0;<[3,3]>
14.0;arcade fire;radiohead;undirected;48.0;<[3,3]>
15.0;alabama shakes;beach house;undirected;28.0;<[3,3]>
16.0;beastie boys;st. vincent;undirected;23.0;<[3,3]>
17.0;radiohead;gorillaz;undirected;23.0;<[3,3]>
18.0;richard hawley;arctic monkeys;undirected;22.0;<[3,3]>
19.0;beastie boys;led zeppelin;undirected;33.0;<[3,3]>
20.0;beastie boys;the band;undirected;21.0;<[3,3]>
21.0;band horses;beastie boys;undirected;25.0;<[3,3]>
22.0;beastie boys;gorillaz;undirected;27.0;<[3,3]>
23.0;rachel unthank the winterset;the decemberists;undirected;23.0;<[3,3]>
24.0;queen;the beatles;undirected;23.0;<[3,3]>
25.0;radiohead;linkin park;undirected;21.0;<[3,3]>
26.0;robert wyatt;nick lowe;undirected;24.0;<[3,3]>
27.0;beastie boys;talking heads;undirected;40.0;<[3,3]>
28.0;beastie boys;metric;undirected;25.0;<[3,3]>
29.0;ron carroll superfunk;arctic monkeys;undirected;28.0;<[3,3]>
30.0;animal collective;death grips;undirected;22.0;<[3,3]>
31.0;radiohead;nick drake;undirected;35.0;<[3,3]>
32.0;david bowie;led zeppelin;undirected;25.0;<[3,3]>
33.0;beastie boys;tricky;undirected;21.0;<[3,3]>
34.0;radiohead;wilco;undirected;23.0;<[3,3]>
35.0;beastie boys;lcd soundsystem;undirected;24.0;<[3,3]>
36.0;beastie boys;the black keys;undirected;24.0;<[3,3]>
37.0;fun.;gotye;undirected;35.0;<[3,3]>
38.0;arcade fire;m83;undirected;25.0;<[3,3]>
39.0;beastie boys;the who;undirected;37.0;<[3,3]>
40.0;bob dylan;pulp;undirected;21.0;<[3,3]>
41.0;alabama shakes;the strokes;undirected;25.0;<[3,3]>
42.0;richard hawley;pulp;undirected;36.0;<[3,3]>
43.0;david bowie;the kinks;undirected;36.0;<[3,3]>
44.0;flower travellin' band;tonton macoute;undirected;21.0;<[3,3]>
45.0;spector;arctic monkeys;undirected;28.0;<[3,3]>
46.0;r.e.m.;the strokes;undirected;26.0;<[3,3]>
47.0;regina spektor;marina the diamonds;undirected;24.0;<[3,3]>
48.0;beastie boys;weezer;undirected;25.0;<[3,3]>
49.0;david bowie;the beatles;undirected;35.0;<[3,3]>
50.0;ryan adams;pulp;undirected;25.0;<[3,3]>
51.0;radiohead;bob dylan;undirected;67.0;<[3,3]>
52.0;beastie boys;paul simon;undirected;25.0;<[3,3]>
53.0;lcd soundsystem;the smiths;undirected;21.0;<[3,3]>
54.0;r.e.m.;pulp;undirected;27.0;<[3,3]>
55.0;flower travellin' band;13th floor elevators;undirected;21.0;<[3,3]>
56.0;sleater-kinney;guided by voices;undirected;21.0;<[3,3]>
57.0;rachel unthank the winterset;elvis presley;undirected;23.0;<[3,3]>
58.0;lcd soundsystem;radiohead;undirected;50.0;<[3,3]>
59.0;beastie boys;death grips;undirected;29.0;<[3,3]>
60.0;super furry animals;beastie boys;undirected;31.0;<[3,3]>
61.0;florence + the machine;gotye;undirected;30.0;<[3,3]>
62.0;richard hawley;talking heads;undirected;22.0;<[3,3]>
63.0;jack white;the black keys;undirected;29.0;<[3,3]>
64.0;radiohead;frank zappa;undirected;24.0;<[3,3]>
65.0;pavement;beastie boys;undirected;35.0;<[3,3]>
66.0;richard hawley;beach house;undirected;33.0;<[3,3]>
67.0;rachel unthank the winterset;okkervil river;undirected;23.0;<[3,3]>
68.0;ron carroll superfunk;depeche mode;undirected;28.0;<[3,3]>
69.0;beastie boys;bee gees;undirected;26.0;<[3,3]>
70.0;santigold;metric;undirected;30.0;<[3,3]>
71.0;st. vincent;the smiths;undirected;22.0;<[3,3]>
72.0;the strokes;arctic monkeys;undirected;25.0;<[3,3]>
73.0;santigold;jack white;undirected;24.0;<[3,3]>
74.0;robert palmer;new order;undirected;24.0;<[3,3]>
75.0;lana del rey;marina the diamonds;undirected;28.0;<[3,3]>
76.0;the shins;arctic monkeys;undirected;23.0;<[3,3]>
77.0;m83;beach house;undirected;22.0;<[3,3]>
78.0;rachel unthank the winterset;bob dylan;undirected;23.0;<[3,3]>
79.0;radiohead;coldplay;undirected;23.0;<[3,3]>
80.0;beastie boys;donna summer;undirected;73.0;<[3,3]>
81.0;robyn;marilyn manson;undirected;22.0;<[3,3]>
82.0;kraftwerk;new order;undirected;21.0;<[3,3]>
83.0;rachel unthank the winterset;jonathan richman the modern lovers;undirected;23.0;<[3,3]>
84.0;alabama shakes;led zeppelin;undirected;21.0;<[3,3]>
85.0;richard hawley;the shins;undirected;25.0;<[3,3]>
86.0;robyn;alabama shakes;undirected;26.0;<[3,3]>
87.0;rachel unthank the winterset;the beau brummels;undirected;23.0;<[3,3]>
88.0;beastie boys;my bloody valentine;undirected;29.0;<[3,3]>
89.0;alabama shakes;the velvet underground;undirected;25.0;<[3,3]>
90.0;radiohead;weezer;undirected;28.0;<[3,3]>
91.0;scott walker;beastie boys;undirected;23.0;<[3,3]>
92.0;ron carroll superfunk;passion pit;undirected;28.0;<[3,3]>
93.0;st. vincent;belle sebastian;undirected;23.0;<[3,3]>
94.0;jack white;of monsters men;undirected;28.0;<[3,3]>
95.0;alabama shakes;theesatisfaction;undirected;23.0;<[3,3]>
96.0;r.e.m.;new order;undirected;40.0;<[3,3]>
97.0;ron carroll superfunk;faith no more;undirected;28.0;<[3,3]>
98.0;robyn;the pipettes;undirected;22.0;<[3,3]>
99.0;robert wyatt;bee gees;undirected;25.0;<[3,3]>
100.0;david bowie;radiohead;undirected;23.0;<[3,3]>
101.0;jack white;arctic monkeys;undirected;40.0;<[3,3]>
102.0;robert wyatt;talking heads;undirected;27.0;<[3,3]>
103.0;ron carroll superfunk;billy idol;undirected;28.0;<[3,3]>
104.0;radiohead;st. vincent;undirected;54.0;<[3,3]>
105.0;beastie boys;beck;undirected;28.0;<[3,3]>
106.0;a tribe called quest;new order;undirected;22.0;<[3,3]>
107.0;beastie boys;metronomy;undirected;28.0;<[3,3]>
108.0;beastie boys;miike snow;undirected;30.0;<[3,3]>
109.0;radiohead;deftones;undirected;23.0;<[3,3]>
110.0;r.e.m.;guided by voices;undirected;21.0;<[3,3]>
111.0;robert palmer;the smiths;undirected;24.0;<[3,3]>
112.0;the beatles;bob dylan;undirected;27.0;<[3,3]>
113.0;the black keys;radiohead;undirected;22.0;<[3,3]>
114.0;beastie boys;david bowie;undirected;42.0;<[3,3]>
